4 qid:3 1:0.281904 2:0.220617 3:0.060573 4:-0.10133 5:-0.248753 6:0.788852 7:0.0560482 8:-0.0119212 9:1.03316 10:0.195 11:0.2124
1 qid:4 1:0.756012 2:0.677777 3:0.0209851 4:-0.139499 5:0.141614 6:1.40321 7:0.409053 8:-0.281503 9:0.701758 10:0.2159 11:0.1997
2 qid:4 1:0.801021 2:0.661478 3:0.0217345 4:0.213406 5:0.185045 6:1.49136 7:-0.0386734 8:-0.30517 9:0.659901 10:0.1886 11:0.2285
3 qid:4 1:0.456715 2:0.703225 3:0.0258116 4:0.307356 5:-0.232722 6:0.788734 7:-0.148978 8:0.107538 9:1.36465 10:0.222 11:0.2124
4 qid:4 1:0.45511 2:0.683352 3:0.0247962 4:0.304921 5:0.101232 6:1.35054 7:-0.148111 8:-0.233168 9:0.788857 10:0.2019 11:0.2243
5 qid:4 1:0.459524 2:0.700304 3:0.0265703 4:0.308243 5:-0.231125 6:0.789237 7:-0.148959 8:0.110255 9:1.38174 10:0.214 11:0.2192
6 qid:4 1:0.447778 2:0.657501 3:0.0790939 4:0.281309 5:0.171355 6:1.30922 7:-0.13894 8:-0.265662 9:0.806195 10:0.2198 11:0.2432
7 qid:4 1:0.452011 2:0.338179 3:0.0283748 4:-0.15295 5:-0.0415704 6:1.07456 7:0.288913 8:-0.236634 9:0.784923 10:0.2238 11:0.2399
8 qid:4 1:0.280879 2:0.375009 3:0.0412524 4:0.268145 5:-0.0308418 6:1.08793 7:0.0186338 8:-0.231999 9:0.77049 10:0.1979 11:0.1975
9 qid:4 1:0.280972 2:0.406572 3:0.0418072 4:0.0199429 5:-0.197746 6:0.754992 7:0.271388 8:-0.0669578 9:1.10644 10:0.1868 11:0.1883
10 qid:4 1:0.140089 2:0.331234 3:0.0491897 4:0.0198669 5:-0.0757034 6:1.08689 7:0.147944 8:-0.185488 9:0.762392 10:0.2036 11:0.2158
11 qid:4 1:0.186641 2:0.184784 3:0.0724691 4:0.054392 5:-0.227141 6:0.702191 7:0.134916 8:-0.108007 9:0.993219 10:0.0935 11:0.1533
1 qid:5 1:0.742044 2:0.650128 3:0.0213836 4:-0.110048 5:0.17683 6:1.47241 7:0.314059 8:-0.294112 9:0.67423 10:0.2161 11:0.1787
2 qid:5 1:0.80732 2:0.68259 3:0.0224588 4:0.19792 5:0.194282 6:1.52125 7:-0.0724771 8:-0.276519 9:0.707312 10:0.2001 11:0.2152
3 qid:5 1:0.453187 2:0.369774 3:0.0270042 4:-0.174247 5:-0.219292 6:0.815745 7:0.269535 8:-0.017698 9:1.13893 10:0.2186 11:0.2149
4 qid:5 1:0.447354 2:0.391977 3:0.029692 4:0.2719 5:-0.187349 6:0.804675 7:-0.17455 8:-0.0540905 9:1.10354 10:0.224 11:0.2427
5 qid:5 1:0.451019 2:0.427973 3:0.0300818 4:-0.171455 5:-0.0294123 6:1.0912 7:0.276672 8:-0.212985 9:0.81563 10:0.2076 11:0.2419
6 qid:5 1:0.446146 2:0.425229 3:0.0293814 4:0.272034 5:-0.186756 6:0.80482 7:-0.17453 8:-0.0553461 9:1.10306 10:0.2299 11:0.2392
7 qid:5 1:0.449513 2:0.427848 3:0.0296378 4:-0.173141 5:-0.0290658 6:1.09191 7:0.273688 8:-0.212813 9:0.816942 10:0.201 11:0.2345
8 qid:5 1:0.450189 2:0.365667 3:0.0311979 4:0.274865 5:-0.186112 6:0.80387 7:-0.17433 8:-0.0569579 9:1.10316 10:0.2329 11:0.2496
9 qid:5 1:0.451045 2:0.350665 3:0.0288207 4:-0.173894 5:-0.025666 6:1.10558 7:0.275879 8:-0.213951 9:0.816783 10:0.1916 11:0.2108
10 qid:5 1:0.285689 2:0.348937 3:0.0338622 4:0.252779 5:-0.0126055 6:1.11555 7:0.0647521 8:-0.218133 9:0.810826 10:0.1695 11:0.1837
